Distance,Height,Scoleplos,Bathyporeia,Haustorius,Fish
0,0,5,0,0,1
0,,5,1,4,0
0,,5,0,3,0
0,,5,2,6,0
5,1.5,3,4,10,0
5,,8,2,1,0
5,,4,6,16,1
5,,2,3,13,1
10,4.3,1,8,43,1
10,,1,8,34,0
10,,1,8,24,0
10,,1,10,4,2
15,4.8,1,15,1,0
15,,0,15,1,0
15,,0,35,1,1
15,,0,34,1,1
