Distance,Scolelepis,Nephthys,Macomangulus tenuis,Bathyporeia,Urothoe,Haustorius
0,,2,22,4,8,
0,1,2,23,2,3,2
0,5,3,24,17,,9
0,4,4,33,,,3
5,,4,40,7,,10
5,,1,27,4,1,6
5,2,5,37,2,2,6
5,,1,13,8,,3
10,,,23,12,4,4
10,7,,41,2,5,
10,,,22,3,1,5
10,5,,36,30,19,4
15,5,,15,1,3,8
15,12,,22,3,,6
15,1,,17,3,,5
15,,1,16,1,,4
