Distance_from_LW,Scolelepis,Nephthys,Ophelia,Eteone,Macomangulus tenuis,Bathyporeia,Urothoe,Haustorius,Cumacea
0,11,1,1,1,45,,4,11,4
0,4,1,,,26,4,3,2,
0,,,,,48,,,2,
0,2,2,,,51,2,3,2,2
5,23,3,,1,,5,6,,
5,83,1,,1,,,1,7,2
5,,32,5,,46,9,13,1,
5,24,2,,,21,5,9,4,
10,23,3,,1,64,1,3,12,
10,8,,,,62,,3,2,11
10,,3,,,72,3,6,6,
10,21,7,,1,44,3,5,3,
15,32,1,,,65,,10,7,
15,46,1,,2,67,1,10,1,
15,10,2,,,24,,,7,
15,,5,,,48,3,3,4,
20,3,1,12,1,93,,8,4,2
20,,1,4,,,,3,2,12
20,2,1,3,4,70,,29,1,
20,,,,,,,,,
25,12,4,21,1,55,,15,,2
25,21,1,11,1,43,,7,6,3
25,1,5,16,,62,1,15,,
25,3,,3,,42,1,2,2,
30,7,3,39,1,,,24,4,
30,4,6,34,6,65,3,9,,
30,3,7,14,,51,5,5,,
30,15,,38,,7,9,5,,
35,18,1,4,2,16,8,4,15,
35,9,,35,3,71,6,2,7,
35,5,2,49,2,38,49,9,12,
35,4,1,7,,14,100,,20,
40,8,,42,1,,12,4,18,
40,12,,104,,46,5,8,,
40,7,3,49,,29,13,6,8,
40,50,6,,,20,4,,5,
45,,2,158,2,35,,5,4,
45,18,1,75,5,34,,,,
45,11,,107,,26,39,6,5,
45,8,1,155,,6,19,21,,
50,17,,60,3,,9,5,3,
50,,,387,5,,27,13,4,
50,10,4,203,,19,6,3,1,
50,31,1,154,,,,14,6,
55,12,1,143,2,31,2,3,1,1
55,29,,103,8,32,16,6,2,
55,31,4,91,,23,6,5,10,3
55,4,,214,,19,8,19,,
60,10,,79,2,17,5,3,6,
60,8,,53,,11,,1,,
60,11,,98,,9,3,1,,
60,36,,15,,15,,,,
70,27,1,103,1,27,3,,3,
70,27,,75,7,16,3,,2,
70,22,,57,,21,3,3,9,
70,2,,47,2,18,4,3,5,
80,5,,30,3,8,9,,6,
80,12,,63,,12,1,4,9,2
80,8,1,22,,7,15,,14,
80,8,4,8,,5,3,,6,
90,9,,26,1,5,1,,15,
90,19,,31,,11,1,,,
90,8,,32,,5,2,1,3,
90,2,22,15,1,7,,,,
100,63,,55,3,5,,,,
100,31,,17,1,2,3,,,
100,19,24,64,,5,1,,,
